sweep,seed,policy,const_ttl_s,concurrency,pause_median_s,pool_blocks,token_hit_rate,prefill_tokens_computed,prompt_tokens_total,ttft_p50,ttft_p95,e2e_p50,e2e_p95,queue_p95,makespan_s,gpu_busy_s,gpu_busy_frac,n_preemptions,n_evictions,n_protected_evictions,rm_total,rm_per_1k_calls,n_calls
concurrency,0,lru,0.0,4,2.0,16000,0.9285168995213471,5234401,73225713,0.07030631886175343,0.3959233594032412,1.4685979000735188,3.8267209163868756,0.02013830093846991,5093.352931785277,4160.071620641341,0.8167648455460927,0,360524,0,4.329349992017486,1.008702234859619,4292
concurrency,0,lru,0.0,8,2.0,16000,0.9279715173275267,5274337,73225713,0.07877648695648531,0.4671381813259359,1.8514715839583005,5.031126418791246,0.12068325993431017,2829.679809133796,2741.095620641337,0.9686946246686562,0,362720,0,2.4052278377637264,0.5603979118741208,4292
concurrency,0,lru,0.0,12,2.0,16000,0.8598319554771696,10263905,73225713,0.09634213687729698,2.608165990720863,2.50195625255094,11.54221552697004,0.46155143826445055,2528.8695541215666,2493.1503380746676,0.9858754216923986,5,674268,0,2.1495391210033317,0.5008245855086979,4292
pause,0,lru,0.0,16,30.0,16000,0.8359277840012291,12014305,73225713,0.07885833333375558,1.9331721172247853,1.495816490496054,4.843172795544888,0.08759534610544506,13207.16160372346,5628.244420641359,0.42615094669959996,0,783368,0,11.226087363164941,2.615584194586426,4292
pause,0,lru,0.0,16,10.0,16000,0.8112783005608972,13819281,73225713,0.09927500000000578,2.811475029356643,1.9800428071683882,9.552430128000651,0.465543683937085,5054.536742610065,4140.214384378047,0.8191085741796627,8,896179,0,4.296356231218555,1.0010149653351712,4292
concurrency,0,lru,0.0,14,2.0,16000,0.7730064984140202,16621761,73225713,0.1292403890093965,5.70142848516798,3.1761367330249186,22.842433450350427,2.608959284990874,2822.458339930921,2802.0636561160136,0.9927741417733711,10,1071484,0,2.3990895889412824,0.558967751384269,4292
pause,0,lru,0.0,16,2.0,16000,0.6264265122280203,27355185,73225713,0.21330411572108687,10.41982009185449,5.03692617529623,34.09656143250231,7.577014762995532,3533.3383650809888,3523.4066671260357,0.9971891460911003,13,1739373,0,3.0033376103188405,0.6997524721152937,4292
concurrency,0,lru,0.0,16,2.0,16000,0.6264265122280203,27355185,73225713,0.21330411572108687,10.41982009185449,5.03692617529623,34.09656143250231,7.577014762995532,3533.3383650809888,3523.4066671260357,0.9971891460911003,13,1739373,0,3.0033376103188405,0.6997524721152937,4292
concurrency,0,const_ttl,1.0,4,2.0,16000,0.9285168995213471,5234401,73225713,0.07030631886175343,0.3959233594032412,1.4685979000735188,3.8267209163868756,0.02013830093846991,5093.352931785277,4160.071620641341,0.8167648455460927,0,360524,0,4.329349992017486,1.008702234859619,4292
concurrency,0,lru,0.0,18,2.0,16000,0.44818573497536307,40406993,73225713,1.9438891739346218,12.919435655643156,11.29729672444568,43.31746884035556,10.015409985719373,4540.42132607827,4528.756517198619,0.9974308972577824,43,2555775,0,3.8593581271665296,0.8991980724991915,4292
pause,0,lru,0.0,16,0.5,16000,0.4906398931206037,37298257,73225713,0.41706677577298024,12.701342759844465,8.72735920367495,42.77722273751169,9.58212864086272,4202.870585232156,4199.454918047976,0.9991873013658374,36,2361180,0,3.572439997447333,0.8323485548572537,4292
concurrency,0,lru,0.0,20,2.0,16000,0.28479241984301334,52371585,73225713,5.732045431276674,17.843036981957653,20.353688274954152,52.10629857179265,14.877151713412786,5509.403716287067,5501.29322728794,0.9985278826136572,83,3303069,0,4.682993158844007,1.0910981264781003,4292
concurrency,0,lru,0.0,24,2.0,16000,0.12177536598380408,64308625,73225713,12.051850417555215,24.782217709462202,30.38976006300254,62.75568769090353,21.986058025050625,6464.875040646344,6456.279995619344,0.9986705009806128,86,4051163,0,5.495143784549393,1.2803224101932416,4292
concurrency,0,lru,0.0,32,2.0,16000,0.09291053267040227,66422273,73225713,24.60831484415121,38.31729368520109,43.305036443523704,77.06634715049586,35.58905467871625,6621.730386127378,6618.935144673987,0.9995778684285839,99,4182666,0,5.628470828208271,1.311386493058777,4292
