sweep,seed,policy,const_ttl_s,concurrency,pause_median_s,pool_blocks,token_hit_rate,prefill_tokens_computed,prompt_tokens_total,ttft_p50,ttft_p95,e2e_p50,e2e_p95,queue_p95,makespan_s,gpu_busy_s,gpu_busy_frac,n_preemptions,n_evictions,n_protected_evictions,rm_total,rm_per_1k_calls,n_calls
concurrency,0,lru,0.0,8,2.0,12868,0.9083362288326233,6712145,73225713,0.12674240445613805,1.2726396187958926,2.8993571511107348,8.84285861205808,0.33436019025498354,4176.987534156007,4099.04226608063,0.9813393582245566,0,455715,0,3.5504394040326064,0.8272226011259567,4292
concurrency,0,lru,0.0,10,2.0,12868,0.8131847347119721,13679681,73225713,0.15235133124248534,6.448309093639182,3.560333927902491,22.485532150051768,0.9862978631290389,4472.1698378475285,4420.032597159387,0.9883418468934454,0,891036,0,3.8013443621703993,0.8856813518570361,4292
concurrency,0,oracle_terminal,0.0,8,2.0,12868,0.9224193692726488,5680897,73225713,0.12047034980476212,0.8894778161458134,2.7774429344613054,8.120598473574717,0.24129406111774188,4065.2423174097485,3978.759917453822,0.9787263849966438,0,385320,0,3.4554559697982867,0.8050922576417258,4292
concurrency,0,belady,0.0,8,2.0,12868,0.9160045734208146,6150625,73225713,0.12208829989435799,0.9080299853758333,2.8062411984693085,8.515544499640555,0.2302861029311316,4124.257249603315,4039.378080011644,0.9794195258795181,0,396252,0,3.5056186621628185,0.816779744213145,4292
concurrency,0,lru,0.0,12,2.0,12868,0.6943414535273968,22382065,73225713,0.21323585772142906,14.283542323101756,4.911760694691793,37.78378527230461,9.232563342494814,5141.01887085423,5100.87084564898,0.9921906481548124,29,1432537,0,4.369866040226095,1.018142134255847,4292
concurrency,0,belady,0.0,10,2.0,12868,0.8310082006302896,12374545,73225713,0.14606759380109224,5.901849592253711,3.4357142787944213,21.239004669354728,1.0282456998800171,4343.443070866947,4291.362591390146,0.9880094020741003,9,696306,0,3.691926610236905,0.8601879334195958,4292
concurrency,0,oracle_terminal,0.0,10,2.0,12868,0.8311819101030808,12361825,73225713,0.1427345294618121,5.919509353498597,3.4059926991326677,22.438373636775736,1.0937626219209733,4341.007824984927,4284.071170550613,0.9868840009670999,11,789939,0,3.6898566512371875,0.8597056503348526,4292
concurrency,0,lru,0.0,14,2.0,12868,0.5029953344394202,36393521,73225713,0.8589595281247551,17.536652657031937,9.799833620422532,49.467429327055015,13.133848213421516,6484.437324476895,6458.991948822844,0.9960759315911649,55,2309536,0,5.511771725805361,1.2841965810357319,4292
concurrency,0,oracle_terminal,0.0,12,2.0,12868,0.6881993487724729,22831825,73225713,0.21060360814635715,13.484368347979853,4.894130929130938,38.215597480620545,9.119105038863381,5189.163121281378,5152.363339033309,0.9929083396709676,34,1443020,0,4.410788653089171,1.0276767598064238,4292
concurrency,0,oracle_terminal,0.0,14,2.0,12868,0.5315564493035391,34302113,73225713,0.6144385010268252,17.117315337554658,8.743734479679858,50.62920185306757,12.802127532450868,6265.949531179922,6241.218628524589,0.9960531276972038,39,2158060,0,5.326057101502934,1.240926631291457,4292
