sweep,seed,policy,const_ttl_s,concurrency,pause_median_s,pool_blocks,token_hit_rate,prefill_tokens_computed,prompt_tokens_total,ttft_p50,ttft_p95,e2e_p50,e2e_p95,queue_p95,makespan_s,gpu_busy_s,gpu_busy_frac,n_preemptions,n_evictions,n_protected_evictions,rm_total,rm_per_1k_calls,n_calls
concurrency,2,ttl_oracle,0.0,8,2.0,12868,0.9244719968392412,5447607,72126983,0.12257705571835231,0.9029074515639999,2.6358847282208444,7.401010048008402,0.2154537320025156,4844.939432283056,4310.528767425463,0.8896971422807313,0,366286,2284,4.1181985174405975,0.9988354395926745,4123
concurrency,0,ttl_oracle,0.0,8,2.0,12868,0.9077783919973575,6752993,73225713,0.12467367700412524,1.077987686708184,2.84992859178449,8.842633420508037,0.2870066511482037,4201.805556849677,4118.185648233585,0.9800990532558613,0,453737,20653,3.571534723322225,0.8321376335792696,4292
concurrency,2,ttl_oracle,0.0,10,2.0,12868,0.8454453723650135,11147559,72126983,0.14277384310673824,4.4440389083333685,3.1718545018645727,15.614233460054265,0.6109703804909259,4680.401535662091,4371.0327515038825,0.9339012300972495,10,716251,160872,3.9783413053127776,0.9649142142403051,4123
concurrency,1,ttl_oracle,0.0,8,2.0,12868,0.9054358360937057,6940450,73394082,0.12421359278031474,1.1839016680269197,2.773662008307383,8.347292000422385,0.310227876920635,4594.924448322744,4375.669192042695,0.9522831640115252,8,466638,43059,3.9056857810743324,0.9325897280502226,4188
concurrency,0,ttl_oracle,0.0,10,2.0,12868,0.8034001935904673,14396161,73225713,0.1471073215725074,7.134538020136006,3.490072617083001,24.902122465044386,1.171108961900245,4560.276764950068,4507.616099794721,0.9884523093948829,5,927133,239785,3.876235250207558,0.9031303006075391,4292
concurrency,1,ttl_oracle,0.0,10,2.0,12868,0.8300074112242456,12476450,73394082,0.14500966267473814,5.608847988642083,3.283365360537232,20.809807627706817,0.8327981117786294,4570.9969266660155,4431.850345784032,0.9695588111052452,0,800468,224725,3.8853473876661133,0.9277333781437711,4188
concurrency,0,ttl_oracle,0.0,12,2.0,12868,0.6326498999060617,26899473,73225713,0.24231986707013675,13.643984648586411,5.230773208817254,40.67694061088969,8.993103505808449,5636.803649282444,5595.836892209101,0.9927322717585599,16,1703605,779602,4.791283101890078,1.1163287749044914,4292
concurrency,1,ttl_oracle,0.0,12,2.0,12868,0.6214417124258057,27783938,73394082,0.29209151780611364,13.085462975090195,5.808165439425466,39.128985308288975,7.495556864331775,5931.30074175783,5803.42488379717,0.9784405034362222,27,1749016,687209,5.041605630494155,1.2038217837856149,4188
concurrency,0,ttl_oracle,0.0,14,2.0,12868,0.45135292844468444,40175073,73225713,1.4772050856981878,18.34795093449975,12.254482756197064,52.157878174470625,14.037860593099595,6897.262364340326,6873.901982911931,0.9966130936892917,50,2535622,1331898,5.862673009689277,1.3659536369266723,4292
concurrency,1,ttl_oracle,0.0,14,2.0,12868,0.41710153142865114,42781298,73394082,2.48642274801,18.264381475312234,14.54297085177484,53.77665527252611,13.685828207838313,7354.010345721335,7298.6839713627405,0.9924767070268287,61,2696545,1466295,6.250908793863135,1.492576120788714,4188
concurrency,0,ttl_oracle,0.0,16,2.0,12868,0.22972957600289942,56403601,73225713,7.348208602290015,24.328650832421772,25.135000437675558,63.37325675256125,20.063093312047386,8602.893180669738,8580.602846592268,0.9974089723527481,79,3550385,2178669,7.3124592035692775,1.7037416597318913,4292
concurrency,1,ttl_oracle,0.0,16,2.0,12868,0.23797362844595563,55928226,73394082,7.353664924281929,24.561554692688333,25.419323034964577,62.81792869782771,19.669571870079835,8701.686001208664,8644.821135503676,0.9934650749639681,65,3521917,2161798,7.396433101027364,1.7661015045433057,4188
concurrency,0,ttl_oracle,0.0,18,2.0,12868,0.15399923794528297,61949009,73225713,11.64502518509687,29.72429255645062,31.901978184697782,71.54811639305717,24.93369018774615,9175.824734306565,9159.67580810077,0.9982400572511573,101,3903321,2641242,7.799451024160581,1.8172066691893245,4292
concurrency,1,ttl_oracle,0.0,18,2.0,12868,0.13907301136350475,63186946,73394082,12.803255182055636,29.87394980255624,32.6394638187362,72.3639377723598,25.230868529755753,9500.775966065255,9454.03855490499,0.9950806743231078,99,3978099,2669976,8.075659571155468,1.9282854754430439,4188
