termination_signal_strength,seed,policy,const_ttl_s,arrival_mode,concurrency,rate_per_s,pool_blocks,pause_median_s,n_sessions,token_hit_rate,prefill_tokens_computed,prompt_tokens_total,ttft_p50,ttft_p95,e2e_p50,e2e_p95,queue_p95,makespan_s,gpu_busy_s,gpu_busy_frac,n_preemptions,n_evictions,n_protected_evictions,mean_live_sessions,mean_context_blocks,pressure_measured,pressure_offered,rm_total,rm_per_1k_calls,rm_gputime_total,rm_gputime_per_1k_calls,n_calls
0.0,0,lru,0.0,closed,10,0.5,12868,2.0,200,0.8131847347119721,13679681,73225713,0.15235133124248534,6.448309093639182,3.560333927902491,22.485532150051768,0.9862978631290389,4472.1698378475285,4420.032597159387,0.9883418468934454,0,891036,0,9.794335159501513,1078.8021901211557,0.8211182950614602,0.8383604212940284,3.8013443621703993,0.8856813518570361,3.7570277075854785,0.8753559430534665,4292
0.0,1,lru,0.0,closed,10,0.5,12868,2.0,200,0.8291053221430033,12542658,73394082,0.1526238681428822,5.509068355607269,3.4905897443987897,17.802738380749133,0.8855823487501766,4570.782549904302,4425.483924876931,0.9682114335037852,4,818372,0,9.650796343128112,1107.7000955109838,0.8307575404911457,0.8608176060856262,3.885165167418657,0.9276898680560308,3.761661336145391,0.8981999369974668,4188
0.0,1,oracle_terminal,0.0,closed,10,0.5,12868,2.0,200,0.8565765288814431,10526434,73394082,0.14279346756609357,4.113862873995004,3.2159748490428104,15.97885200174278,0.7117852572389438,4368.518163770047,4222.554435552055,0.9665873592037386,6,669837,0,9.636798190558835,1107.7000955109838,0.8295525548727151,0.8608176060856262,3.7132404392045397,0.8866381182436819,3.5891712702192473,0.8570131972825328,4188
0.0,0,oracle_terminal,0.0,closed,10,0.5,12868,2.0,200,0.8311819101030808,12361825,73225713,0.1427345294618121,5.919509353498597,3.4059926991326677,22.438373636775736,1.0937626219209733,4341.007824984927,4284.071170550613,0.9868840009670999,11,789939,0,9.773970123143162,1078.8021901211557,0.8194109710153546,0.8383604212940284,3.6898566512371875,0.8597056503348526,3.6414604949680207,0.848429751856482,4292
0.0,1,belady,0.0,closed,10,0.5,12868,2.0,200,0.865108224938354,9900258,73394082,0.13712995416699414,3.580695039916691,3.212781274323845,13.728154213338883,0.6788803350959824,4273.021825607137,4128.930907316115,0.966278918252296,0,580722,0,9.641657600147877,1107.7000955109838,0.8299708614056579,0.8608176060856262,3.632068551766066,0.8672561011857847,3.5095912712186976,0.8380112873015038,4188
0.0,0,belady,0.0,closed,10,0.5,12868,2.0,200,0.8310082006302896,12374545,73225713,0.14606759380109224,5.901849592253711,3.4357142787944213,21.239004669354728,1.0282456998800171,4343.443070866947,4291.362591390146,0.9880094020741003,9,696306,0,9.799563620693739,1078.8021901211557,0.8215566285542437,0.8383604212940284,3.691926610236905,0.8601879334195958,3.6476582026816238,0.8498737657692507,4292
0.0,1,predict_terminal,0.0,closed,10,0.5,12868,2.0,200,0.8299616309663769,12479810,73394082,0.1478467300732973,5.3630941340388745,3.417125104802494,19.13031978073377,0.848614635312515,4557.503819074891,4412.265554912404,0.9681320587040191,1,813472,0,9.647955235746982,1107.7000955109838,0.8305129729657,0.8608176060856262,3.8738782462136574,0.9249948056861647,3.7504257216755432,0.8955171255194706,4188
0.0,0,belady_pause,0.0,closed,10,0.5,12868,2.0,200,0.841882195124546,11578289,73225713,0.14611191674694624,5.43343265156409,3.459716940264343,19.65053627772204,0.9887096786846996,4213.481155971299,4167.816767780433,0.9891623134172202,6,698001,0,9.799569487409348,1078.8021901211557,0.8215571203964607,0.8383604212940284,3.581458982575604,0.834449902743617,3.5426442526133686,0.8254063962286506,4292
0.0,1,predict_guarded,0.0,closed,10,0.5,12868,2.0,200,0.6394568979008417,26461730,73394082,0.31833307232165,8.610477719097162,5.638104294017012,27.470511981692425,1.1689267424462741,5966.808415530493,5831.978448472392,0.9774033356413516,7,1521421,0,9.718803837012663,1107.7000955109838,0.8366117452993039,0.8608176060856262,5.071787153200919,1.2110284510985958,4.957181681201534,1.183663247660347,4188
0.0,1,belady_pause,0.0,closed,10,0.5,12868,2.0,200,0.86369252496407,10004162,73394082,0.14223700704192055,3.9909160962615715,3.2631963640852746,14.151747419833669,0.7257946232521135,4291.036382374723,4146.8580158161285,0.9664001062422118,9,608661,0,9.633304422782034,1107.7000955109838,0.8292518051913306,0.8608176060856262,3.6473809250185143,0.8709123507685087,3.524829313443709,0.8416497883103412,4188
0.0,1,predict,0.0,closed,10,0.5,12868,2.0,200,0.47670786317621633,38406546,73394082,1.1062611487946015,10.281871104884317,8.966568559123516,33.30677705859762,1.313733552989106,7196.821216558015,7093.868593920256,0.9856947088805135,7,1958482,0,9.77571438417936,1107.7000955109838,0.8415107053966098,0.8608176060856262,6.117298034074313,1.4606728830167892,6.029788304832218,1.4397775321948945,4188
0.0,0,predict_terminal,0.0,closed,10,0.5,12868,2.0,200,0.8189894716354622,13254625,73225713,0.1497623520315301,6.3536164909432955,3.5913253994733623,21.818747666836316,1.0030093715527073,4415.797984230193,4364.689892766714,0.9884260802586539,10,858018,0,9.807866209279222,1078.8021901211557,0.8222526847206794,0.8383604212940284,3.753428286595664,0.8745173081536962,3.7099864088517074,0.8643957150167072,4292
0.0,0,predict,0.0,closed,10,0.5,12868,2.0,200,0.4249971591263304,42104993,73225713,1.418277173431079,10.52948568255033,10.145176198695594,34.676341905367735,3.3598832031748316,7415.5681730861115,7393.820556141751,0.9970673026750275,11,2156698,0,9.865223543235969,1078.8021901211557,0.8270612965867074,0.8383604212940284,6.3032329471231945,1.4686004070650498,6.284747472720488,1.4642934465797968,4292
0.0,0,predict_guarded,0.0,closed,10,0.5,12868,2.0,200,0.57065703136274,31438945,73225713,0.5253040555564894,9.23140612052157,6.970350042212772,31.468987672112235,2.4918016679739594,6324.672668190361,6285.926052559924,0.9938737358179323,16,1821644,0,9.85661743140869,1078.8021901211557,0.8263397942329853,0.8383604212940284,5.375971767961807,1.2525563299072242,5.343037144675936,1.2448828389272917,4292
0.0,2,lru,0.0,closed,10,0.5,12868,2.0,200,0.8495743125703733,10849751,72126983,0.14757372972781013,4.205626890519852,3.205273793037577,14.808082019266521,0.6448998484790991,4653.508347544779,4345.688141962919,0.9338520138801797,6,711217,0,9.35879480070169,1105.6165413533834,0.8041061811305431,0.859198431266229,3.9554820954130627,0.959369899445322,3.6938349206684813,0.8959095126530393,4123
0.0,2,oracle_terminal,0.0,closed,10,0.5,12868,2.0,200,0.8683724924415597,9493895,72126983,0.13999739978126513,3.3255916495145357,3.0800231390744557,13.216957974252182,0.49984793126827753,4513.82407252638,4198.405239763929,0.9301215936433446,0,604923,0,9.348134013206444,1105.6165413533834,0.8031902079413452,0.859198431266229,3.8367504616474233,0.9305725107075973,3.5686444537993394,0.8655455866600387,4123
0.0,3,lru,0.0,closed,10,0.5,12868,2.0,200,0.8430735497202341,11290038,71944774,0.14633031698366494,4.73867978888461,3.469005781889109,16.868436770885523,0.7833184751621047,4172.96104002465,4135.8362921367125,0.9911035000011124,13,735753,0,9.785498488719,1089.762098706277,0.8287119497943363,0.8468776023517849,3.5470168840209526,0.849788424537842,3.5154608483162058,0.8422282818198864,4174
0.0,2,belady,0.0,closed,10,0.5,12868,2.0,200,0.8763923482006727,8915447,72126983,0.1400062310776775,3.0065886521879293,3.000904911497628,12.537119274656106,0.553450329620091,4465.0962498670615,4144.375358354262,0.9281715614702934,2,520587,0,9.346213837643528,1105.6165413533834,0.8030252267582041,0.859198431266229,3.795331812387002,0.9205267553691493,3.522719054601123,0.8544067559061661,4123
0.0,2,belady_pause,0.0,closed,10,0.5,12868,2.0,200,0.876883703842153,8880007,72126983,0.13842231572607488,2.9295996571627256,2.9776814202101605,12.258018065275337,0.5021116523839737,4470.932125449082,4140.448544583339,0.9260817271224961,6,551468,0,9.334226324852422,1105.6165413533834,0.8019952615397138,0.859198431266229,3.80029230663172,0.9217298827629686,3.519381262895838,0.8535972017695459,4123
0.0,3,oracle_terminal,0.0,closed,10,0.5,12868,2.0,200,0.8499497128172229,10795334,71944774,0.13933483714657768,5.326781236288525,3.3205232855093243,19.43679367307641,0.7875337970556302,4108.860741513431,4072.2078528688344,0.9910795495514662,6,691892,0,9.773279282736912,1089.762098706277,0.8276771326078608,0.8468776023517849,3.4925316302864164,0.8367349377782503,3.461376674938509,0.8292708852272422,4174
